collection,journal,pmcid,no_pmid,%
Springer Nature,Pharm Chem J,15,0,0
Springer Nature,Pharm Diagn Innov,6,0,0
Springer Nature,Pharmacogenomics J,7,0,0
Springer Nature,Pharmacol Rep,32,0,0
Springer Nature,Pharmacologic Therapy of Ocular Disease,1,0,0
Springer Nature,Pharmacology and Therapeutics of Cough,1,0,0
Springer Nature,Phenomenol Cogn Sci,4,0,0
Springer Nature,Philos Ethics Humanit Med,13,0,0
Springer Nature,Philos Manag,8,0,0
Springer Nature,Philos Stud,4,0,0
Springer Nature,Philos Technol,10,0,0
Springer Nature,Philosophia (Ramat Gan),6,0,0
Springer Nature,Photochem Photobiol Sci,13,0,0
Springer Nature,Photosynth Res,2,0,0
Springer Nature,Photosynthetica,1,0,0
Springer Nature,Physical Virology,1,0,0
Springer Nature,Physiol Mol Biol Plants,3,0,0
Springer Nature,Phytochem Rev,18,0,0
Springer Nature,Phytopathol Res,1,0,0
Springer Nature,Phytotherapie (Paris),2,0,0
Springer Nature,Pilot Feasibility Stud,67,0,0
Springer Nature,Pituitary,13,0,0
Springer Nature,Plant-produced Microbial Vaccines,4,0,0
Springer Nature,Plant Biotechnol Rep,3,0,0
Springer Nature,Plant Cell Rep,9,0,0
Springer Nature,Plant Cell Tissue Organ Cult,10,0,0
Springer Nature,Plant Foods Hum Nutr,5,0,0
Springer Nature,Plant Methods,2,0,0
Springer Nature,Plant Mol Biol,10,0,0
Springer Nature,Plant Mol Biol Report,1,0,0
Springer Nature,Plant Soil,3,0,0
Springer Nature,Plant Viral Vectors,1,0,0
Springer Nature,Plant Virology Protocols,2,0,0
Springer Nature,Planta,7,0,0
Springer Nature,Plasmonics,7,0,0
Springer Nature,Plastic and Reconstructive Surgery,1,0,0
Springer Nature,Pneumo News,78,0,0
Springer Nature,Pneumologe (Berl),47,0,0
Springer Nature,Pneumonologie,1,0,0
Springer Nature,Poiesis Prax,1,0,0
Springer Nature,Polar Biol,4,0,0
Springer Nature,Policy Sci,17,0,0
Springer Nature,Polit Behav,10,0,0
Springer Nature,Poly(ADP-Ribose) Polymerase,1,0,0
Springer Nature,Polym Bull (Berl),6,0,0
Springer Nature,Polym J,1,0,0
Springer Nature,Polymyxin Antibiotics: From Laboratory Bench to Bedside,1,0,0
Springer Nature,Popul Environ,5,0,0
Springer Nature,Popul Health Metr,6,0,0
Springer Nature,Popul Res Policy Rev,11,0,0
Springer Nature,Porcine Health Manag,24,0,0
Springer Nature,Postmedieval,2,0,0
Springer Nature,Potato Res,1,0,0
Springer Nature,Pramana,1,0,0
Springer Nature,Precis Agric,1,0,0
Springer Nature,Prev Sci,21,0,0
Springer Nature,Probiotics Antimicrob Proteins,14,0,0
Springer Nature,Prog Orthod,4,0,0
Springer Nature,Prokaryotic Systems Biology,1,0,0
Springer Nature,Promed Komplement,1,0,0
Springer Nature,Prospect in Pediatric Diseases Medicine,1,0,0
Springer Nature,Prospects (Paris),69,0,0
Springer Nature,Prostate Cancer Prostatic Dis,11,0,0
Springer Nature,Proteases and Cancer,1,0,0
Springer Nature,Protein Chromatography,4,0,0
Springer Nature,Protein Crystallography,1,0,0
Springer Nature,Protein Synthesis,1,0,0
Springer Nature,Protein Targeting Compounds,1,0,0
Springer Nature,Proteome Sci,7,0,0
Springer Nature,Proteostasis,1,0,0
Springer Nature,Proteostasis and Disease,1,0,0
Springer Nature,Psicol Reflex Crit,5,0,0
Springer Nature,Psychiatr Q,35,0,0
Springer Nature,Psychol Inj Law,6,0,0
Springer Nature,Psychol Rec,3,0,0
Springer Nature,Psychol Res,9,0,0
Springer Nature,Psychon Bull Rev,12,0,0
Springer Nature,Psychopharmacology (Berl),16,0,0
Springer Nature,Psychosom Konsiliarpsychiatr,1,0,0
Springer Nature,Psychotherapeut (Berl),21,0,0
Springer Nature,Public Health Rev,9,0,0
Springer Nature,Pulm Ther,18,0,0
Springer Nature,Pulmonary Dysfunction and Disease,1,0,0
Springer Nature,Pulmonary Infection,4,0,0
Springer Nature,Pulmonary Infection and Inflammation,1,0,0
Springer Nature,Pulmonary Vasculature Redox Signaling in Health and Disease,1,0,0
Springer Nature,Pulmonology,2,0,0
Springer Nature,Pure Appl Geophys,2,0,0
Springer Nature,Purinergic Regulation of Respiratory Diseases,2,0,0
Springer Nature,Purinergic Signal,10,0,0
Springer Nature,Qual Quant,43,0,0
Springer Nature,Qual Sociol,4,0,0
Springer Nature,Qual Theory Dyn Syst,1,0,0
Springer Nature,Quant Biol,4,0,0
Springer Nature,Quantum Inf Process,3,0,0
Springer Nature,Quasispecies: Concept and Implications for Virology,3,0,0
Springer Nature,Quasispecies: From Theory to Experimental Systems,2,0,0
Springer Nature,Queueing Syst,1,0,0
Springer Nature,Race Soc Probl,7,0,0
Springer Nature,Radiat Environ Biophys,3,0,0
Springer Nature,Radiat Oncol,12,0,0
Springer Nature,Radiol Med,52,0,0
Springer Nature,Radiol Phys Technol,2,0,0
Springer Nature,Rare Metals,4,0,0
Springer Nature,Read Writ,1,0,0
Springer Nature,Rechtsmedizin (Berl),27,0,0
Springer Nature,Recombinant Antibodies for Infectious Diseases,3,0,0
Springer Nature,Recombinant Virus Vaccines,1,0,0
Springer Nature,Reg Environ Change,7,0,0
Springer Nature,Remote Sens Earth Syst Sci,2,0,0
Springer Nature,Ren Replace Ther,11,0,0
Springer Nature,Renal Fibrosis: Mechanisms and Therapies,2,0,0
Springer Nature,Rend Lincei Sci Fis Nat,4,0,0
Springer Nature,"Reoviruses: Entry, Assembly and Morphogenesis",1,0,0
Springer Nature,Reprod Biol Endocrinol,10,0,0
Springer Nature,Reprod Health,36,0,0
Springer Nature,Res Child Adolesc Psychopathol,5,0,0
Springer Nature,Res Eng Des,1,0,0
Springer Nature,Res High Educ,10,0,0
Springer Nature,Res Integr Peer Rev,1,0,0
Springer Nature,Res Pract Technol Enhanc Learn,5,0,0
Springer Nature,Res Publica,6,0,0
Springer Nature,Res Sci Educ,1,0,0
Springer Nature,Respir Res,188,0,0
Springer Nature,Respiratory Contagion,2,0,0
Springer Nature,Respiratory Infections,2,0,0
Springer Nature,Respiratory Regulation - The Molecular Approach,2,0,0
Springer Nature,Respiratory System Diseases,2,0,0
Springer Nature,Respiratory Virology and Immunogenicity,1,0,0
Springer Nature,Rev Bras Bot,1,0,0
Springer Nature,Rev Bras Farmacogn,11,0,0
Springer Nature,Rev Econ Househ,31,0,0
Springer Nature,Rev Endocr Metab Disord,23,0,0
Springer Nature,Rev Environ Sci Biotechnol,2,0,0
Springer Nature,Rev Fish Biol Fish,12,0,0
Springer Nature,Rev Ind Organ,7,0,0
Springer Nature,Rev J Autism Dev Disord,3,0,0
Springer Nature,Rev J Chem,1,0,0
Springer Nature,Rev Mat Complut,1,0,0
Springer Nature,Rev Philos Psychol,2,0,0
Springer Nature,Rev R Acad Cienc Exactas Fis Nat A Mat,1,0,0
Springer Nature,Rev Relig Res,5,0,0
Springer Nature,Reverse Genetics of RNA Viruses,3,0,0
Springer Nature,Reviews of Environmental Contamination and Toxicology,2,0,0
Springer Nature,Rheol Acta,1,0,0
Springer Nature,Rheuma Plus,32,0,0
Springer Nature,Rheumatol Int,131,0,0
Springer Nature,Rheumatol Ther,12,0,0
Springer Nature,Rhinoviruses,1,0,0
Springer Nature,Ricin and Shiga Toxins,1,0,0
Springer Nature,RNA Bioinformatics,1,0,0
Springer Nature,RNA Interference,1,0,0
Springer Nature,RNA Towards Medicine,5,0,0
Springer Nature,RNA Vaccines,1,0,0
Springer Nature,RNAi,2,0,0
Springer Nature,Rock Mech Rock Eng,1,0,0
Springer Nature,Roles of Host Gene and Non-coding RNA Expression in Virus Infection,2,0,0
Springer Nature,Russ Agric Sci,1,0,0
Springer Nature,Russ J Biol Invasions,1,0,0
Springer Nature,Russ J Bioorg Chem,10,0,0
Springer Nature,Russ J Bioorgan Chem,6,0,0
Springer Nature,Russ J Dev Biol,1,0,0
Springer Nature,Russ J Ecol,1,0,0
Springer Nature,Russ J Gen Chem,9,0,0
Springer Nature,Russ J Genet,7,0,0
Springer Nature,Russ J Genet Appl Res,1,0,0
Springer Nature,Russ J Mar Biol,1,0,0
Springer Nature,Russ J Plant Physiol,3,0,0
Springer Nature,Salmonella,1,0,0
Springer Nature,Sankhya B (2008),3,0,0
Springer Nature,Sankhya Ser A,1,0,0
Springer Nature,SARS- and Other Coronaviruses,23,0,0
Springer Nature,School Ment Health,6,0,0
Springer Nature,Sci Bull (Beijing),3,0,0
Springer Nature,Sci China C Life Sci,16,0,0
Springer Nature,Sci China Chem,13,0,0
Springer Nature,Sci China Earth Sci,7,0,0
Springer Nature,Sci China Life Sci,115,0,0
Springer Nature,Sci China Mater,5,0,0
Springer Nature,Sci China Math,2,0,0
Springer Nature,Sci China Phys Mech Astron,2,0,0
Springer Nature,Sci China Technol Sci,3,0,0
Springer Nature,Sci Data,7,0,0
Springer Nature,Scientometrics,98,0,0
Springer Nature,Semin Immunopathol,38,0,0
Springer Nature,Sens Imaging,1,0,0
Springer Nature,Sensory Nerves,1,0,0
Springer Nature,Sepsis (Boston),4,0,0
Springer Nature,SERIEs (Berl),8,0,0
Springer Nature,Set Valued Var Anal,1,0,0
Springer Nature,Sex Disabil,12,0,0
Springer Nature,Sex Res Social Policy,26,0,0
Springer Nature,Sex Roles,6,0,0
Springer Nature,Shock Waves,1,0,0
Springer Nature,SialoGlyco Chemistry and Biology I,1,0,0
Springer Nature,SialoGlyco Chemistry and Biology II,2,0,0
Springer Nature,Signal Image Video Process,8,0,0
Springer Nature,Single Nucleotide Polymorphisms,1,0,0
Springer Nature,siRNA and miRNA Gene Silencing,2,0,0
Springer Nature,Skelet Muscle,3,0,0
Springer Nature,Skeletal Radiol,14,0,0
Springer Nature,Sleep Biol Rhythms,6,0,0
Springer Nature,Sleep Breath,29,0,0
Springer Nature,Sleep Sci Pract,2,0,0
Springer Nature,Sleep Vigil,21,0,0
Springer Nature,SN Appl Sci,25,0,0
Springer Nature,SN Compr Clin Med,281,0,0
Springer Nature,SN Comput Sci,89,0,0
Springer Nature,SN Soc Sci,2,0,0
Springer Nature,Soc Choice Welfare,3,0,0
Springer Nature,Soc Indic Res,55,0,0
Springer Nature,Soc Netw Anal Min,33,0,0
Springer Nature,Soc Psychiatry Psychiatr Epidemiol,46,0,0
Springer Nature,Soc Psychol Educ,5,0,0
Springer Nature,Soc Theory Health,14,0,0
Springer Nature,Soft comput,68,0,0
Springer Nature,Softw Syst Model,7,0,0
Springer Nature,Software Tools and Algorithms for Biological Systems,1,0,0
Springer Nature,Somatic Cell Genet,1,0,0
Springer Nature,Source Code Biol Med,2,0,0
Springer Nature,Space Sci Rev,3,0,0
Springer Nature,Spat Demogr,4,0,0
Springer Nature,Spektrum Augenheilkd,4,0,0
Springer Nature,Sphingolipids as Signaling and Regulatory Molecules,1,0,0
Springer Nature,Sphingolipids in Disease,1,0,0
Springer Nature,Sphingosine-1-Phosphate Signaling in Immunology and Infectious Diseases,2,0,0
Springer Nature,Spinal Cord,26,0,0
Springer Nature,Spinal Cord Ser Cases,95,0,0
Springer Nature,Spine Deform,7,0,0
Springer Nature,Sport Sci Health,25,0,0
Springer Nature,Sports Med Open,7,0,0
Springer Nature,Springer Semin Immunopathol,17,0,0
Springer Nature,Springerplus,9,0,0
Springer Nature,Stat Biosci,7,0,0
Springer Nature,Stat Comput,2,0,0
Springer Nature,Stat Methods Appt,6,0,0
Springer Nature,Stat Pap (Berl),3,0,0
Springer Nature,Stem Cell Rev,1,0,0
Springer Nature,Stem Cell Rev Rep,66,0,0
Springer Nature,Stem Cell Transplantation,1,0,0
Springer Nature,Stoch Environ Res Risk Assess,21,0,0
Springer Nature,Struct Multidiscipl Optim,1,0,0
Springer Nature,Structural Genomics,1,0,0
Springer Nature,Structure and Physics of Viruses,5,0,0
Springer Nature,Stud Comp Int Dev,9,0,0
Springer Nature,Stud Russ Econ Dev,44,0,0
Springer Nature,Subst Abuse Treat Prev Policy,18,0,0
Springer Nature,Sugar Tech,7,0,0
Springer Nature,Suicide Gene Therapy,1,0,0
Springer Nature,SUMO Regulation of Cellular Processes,1,0,0
Springer Nature,Suppression and Regulation of Immune Responses,2,0,0
Springer Nature,Surg Case Rep,14,0,0
Springer Nature,Surg Radiol Anat,17,0,0
Springer Nature,Surg Today,21,0,0
Springer Nature,Surv Geophys,3,0,0
Springer Nature,Sustain Sci,55,0,0
Springer Nature,Sustain Water Resour Manag,1,0,0
Springer Nature,Swine Influenza,3,0,0
Springer Nature,Swiss J Econ Stat,16,0,0
Springer Nature,Synthese,20,0,0
Springer Nature,Synthetic Gene Networks,1,0,0
Springer Nature,Syst Parasitol,3,0,0
Springer Nature,Syst Pract Action Res,8,0,0
Springer Nature,Systems Genetics,1,0,0
Springer Nature,Systems Medicine,2,0,0
Springer Nature,Tandartspraktijk,27,0,0
Springer Nature,Target Pattern Recognition in Innate Immunity,1,0,0
Springer Nature,Tech Coloproctol,24,0,0
Springer Nature,Telecommun Syst,2,0,0
Springer Nature,Test (Madr),1,0,0
Springer Nature,The Future of HIV-1 Therapeutics,2,0,0
Springer Nature,The Golgi Apparatus and Centriole,1,0,0
Springer Nature,The Human Virome,1,0,0
Springer Nature,The Male Role in Pregnancy Loss and Embryo Implantation Failure,1,0,0
Springer Nature,The Molecular Immunology of Complex Carbohydrates-3,1,0,0
Springer Nature,The Palgrave Handbook of Critical Menstruation Studies,1,0,0
Springer Nature,The Renin-Angiotensin System: Current Research Progress in The Pancreas,2,0,0
Springer Nature,Theor Appl Climatol,5,0,0
Springer Nature,Theor Appl Genet,5,0,0
Springer Nature,Theor Biol Med Model,16,0,0
Springer Nature,Theor Chem Acc,4,0,0
Springer Nature,Theor Comput Fluid Dyn,1,0,0
Springer Nature,Theor Ecol,3,0,0
Springer Nature,Theor Exp Plant Physiol,1,0,0
Springer Nature,Theor Med Bioeth,8,0,0
Springer Nature,Theory Decis,2,0,0
Springer Nature,Theory Soc,13,0,0
Springer Nature,Ther Innov Regul Sci,42,0,0
Springer Nature,Therapeutic Antibodies,4,0,0
Springer Nature,Thyroid Res,2,0,0
Springer Nature,Tijdschr Kindergeneeskd,3,0,0
Springer Nature,Tijdschr Verzorg,20,0,0
Springer Nature,Top Catal,5,0,0
Springer Nature,Top Curr Chem (Cham),9,0,0
Springer Nature,Topoi (Dordr),6,0,0
Springer Nature,Toxicol Res,3,0,0
Springer Nature,Transgenic Maize,1,0,0
Springer Nature,Transgenic Mouse Methods and Protocols,1,0,0
Springer Nature,Transl Behav Med,1,0,0
Springer Nature,Transl Med Commun,16,0,0
Springer Nature,Transl Neurodegener,5,0,0
Springer Nature,Transl Respir Med,1,0,0
Springer Nature,Transl Stroke Res,1,0,0
Springer Nature,Transp Porous Media,2,0,0
Springer Nature,Transpl Int,5,0,0
Springer Nature,Transplant Res,1,0,0
Springer Nature,Transportation (Amst),19,0,0
Springer Nature,Trauma Berufskrankh,1,0,0
Springer Nature,Treat Respir Med,6,0,0
Springer Nature,Trees (Berl West),1,0,0
Springer Nature,Trends in Biomedical Research,2,0,0
Springer Nature,Trop Anim Health Prod,64,0,0
Springer Nature,Trop Dis Travel Med Vaccines,21,0,0
Springer Nature,Trop Ecol,2,0,0
Springer Nature,Trop Plant Pathol,1,0,0
Springer Nature,TSG,11,0,0
Springer Nature,Tumour Biol,1,0,0
Springer Nature,Ubiquitin Family Modifiers and the Proteasome,1,0,0
Springer Nature,Ultrasound J,23,0,0
Springer Nature,Unfallchirurg,26,0,0
Springer Nature,Univers Access Inf Soc,16,0,0
Springer Nature,Updates Surg,55,0,0
Springer Nature,Uptake and Trafficking of Protein Toxins,1,0,0
Springer Nature,Urban Ecosyst,4,0,0
Springer Nature,Urban Rail Transit,2,0,0
Springer Nature,Urban Rev,6,0,0
Springer Nature,Urban Transform,3,0,0
Springer Nature,Urol Res,1,0,0
Springer Nature,Urolithiasis,6,0,0
Springer Nature,Vaccine Design,3,0,0
Springer Nature,Vaccine Technologies for Veterinary Viral Diseases,2,0,0
Springer Nature,Vaccines for Pandemic Influenza,4,0,0
Springer Nature,Veg Hist Archaeobot,2,0,0
Springer Nature,Vegetos,9,0,0
Springer Nature,Vet Res,92,0,0
Springer Nature,Veterinary Infection Biology: Molecular Diagnostics and High-Throughput Strategies,3,0,0
Springer Nature,Viral Applications of Green Fluorescent Protein,2,0,0
Springer Nature,Viral Entry into Host Cells,3,0,0
Springer Nature,Viral Molecular Machines,2,0,0
Springer Nature,Virchows Arch A Pathol Anat Histopathol,1,0,0
Springer Nature,Virchows Arch B Cell Pathol Incl Mol Pathol,3,0,0
Springer Nature,Virchows Arch Pathol Anat Physiol Klin Med,1,0,0
Springer Nature,Virol J,444,0,0
Springer Nature,Virtual Real,11,0,0
Springer Nature,Virus-Host Interactions,2,0,0
Springer Nature,Virus Genes,193,0,0
Springer Nature,Virus Protein and Nucleoprotein Complexes,1,0,0
Springer Nature,"Viruses, Genes, and Cancer",1,0,0
Springer Nature,Vis Comput,10,0,0
Springer Nature,Vis Comput Ind Biomed Art,5,0,0
Springer Nature,Waste Biomass Valorization,9,0,0
Springer Nature,Waste Dispos Sustain Energy,4,0,0
Springer Nature,Water Air Soil Pollut,14,0,0
Springer Nature,West Nile Virus,1,0,0
Springer Nature,Wetl Ecol Manag,1,0,0
Springer Nature,Wetlands (Wilmington),3,0,0
Springer Nature,Wien Klin Mag,28,0,0
Springer Nature,Wien Klin Wochenschr Educ,7,0,0
Springer Nature,"Wildlife and Emerging Zoonotic Diseases: The Biology, Circumstances and Consequences of Cross-Species Transmission",11,0,0
Springer Nature,Wirel Pers Commun,35,0,0
Springer Nature,Wissen Kompakt (Heidelb),1,0,0
Springer Nature,Womens Midlife Health,2,0,0
Springer Nature,Wood Sci Technol,3,0,0
Springer Nature,World J Pediatr,66,0,0
Springer Nature,World J Surg Oncol,6,0,0
Springer Nature,World J Urol,50,0,0
Springer Nature,World Wide Web,3,0,0
Springer Nature,Yeast Functional Genomics and Proteomics,1,0,0
Springer Nature,Z Arbeitswiss,17,0,0
Springer Nature,Z Ernahrungswiss,1,0,0
Springer Nature,Z Erziehwiss,14,0,0
Springer Nature,Z Gerontol Geriatr,64,0,0
Springer Nature,Z Herz Thorax Gefasschir,8,0,0
Springer Nature,Z Kardiol,1,0,0
Springer Nature,Z Rheumatol,78,0,0
Springer Nature,ZDM,14,0,0
Springer Nature,Zentralbl Arbeitsmed Arbeitsschutz Ergon,18,0,0
Springer Nature,Zika Virus,1,0,0
Springer Nature,Zorg Welz,9,0,0
Taylor & Francis,Acta Cardiol,3,0,0
Taylor & Francis,Acta Clin Belg,3,0,0
Taylor & Francis,Acta Otolaryngol,2,0,0
Taylor & Francis,Aerosol Sci Technol,1,0,0
Taylor & Francis,Ann Med,5,0,0
Taylor & Francis,Arch Physiol Biochem,1,0,0
Taylor & Francis,Autoimmunity,1,0,0
Taylor & Francis,Autophagy,1,0,0
Taylor & Francis,Avian Pathol,15,0,0
Taylor & Francis,Biodiversity (Nepean),1,0,0
Taylor & Francis,Biomarkers,7,0,0
Taylor & Francis,Br J Biomed Sci,1,0,0
Taylor & Francis,Br Poult Sci,1,0,0
Taylor & Francis,Cell Cycle,2,0,0
Taylor & Francis,Chronobiol Int,1,0,0
Taylor & Francis,Clin Exp Hypertens,3,0,0
Taylor & Francis,Clin Toxicol (Phila),1,0,0
Taylor & Francis,Crit Rev Clin Lab Sci,3,0,0
Taylor & Francis,Crit Rev Environ Sci Technol,1,0,0
Taylor & Francis,Crit Rev Microbiol,5,0,0
Taylor & Francis,Curr Med Res Opin,9,0,0
Taylor & Francis,Drug Dev Ind Pharm,4,0,0
Taylor & Francis,Drug Metab Rev,2,0,0
Taylor & Francis,Emerg Microbes Infect,22,0,0
Taylor & Francis,Endocr Res,1,0,0
Taylor & Francis,Eur J Psychotraumatol,3,0,0
Taylor & Francis,Exp Lung Res,2,0,0
Taylor & Francis,Expert Opin Biol Ther,13,0,0
Taylor & Francis,Expert Opin Drug Deliv,2,0,0
Taylor & Francis,Expert Opin Drug Discov,7,0,0
Taylor & Francis,Expert Opin Drug Saf,4,0,0
Taylor & Francis,Expert Opin Emerg Drugs,1,0,0
Taylor & Francis,Expert Opin Investig Drugs,5,0,0
Taylor & Francis,Expert Opin Pharmacother,8,0,0
Taylor & Francis,Expert Opin Ther Targets,6,0,0
Taylor & Francis,Expert Rev Anti Infect Ther,35,0,0
Taylor & Francis,Expert Rev Cardiovasc Ther,1,0,0
Taylor & Francis,Expert Rev Clin Immunol,11,0,0
Taylor & Francis,Expert Rev Clin Pharmacol,8,0,0
Taylor & Francis,Expert Rev Endocrinol Metab,1,0,0
Taylor & Francis,Expert Rev Med Devices,1,0,0
Taylor & Francis,Expert Rev Mol Diagn,29,0,0
Taylor & Francis,Expert Rev Pharmacoecon Outcomes Res,1,0,0
Taylor & Francis,Expert Rev Proteomics,8,0,0
Taylor & Francis,Expert Rev Respir Med,25,0,0
Taylor & Francis,Expert Rev Vaccines,34,0,0
Taylor & Francis,Fetal Pediatr Pathol,2,0,0
Taylor & Francis,Free Radic Res,1,0,0
Taylor & Francis,Gut Microbes,1,0,0
Taylor & Francis,Gynecol Endocrinol,1,0,0
Taylor & Francis,Hemoglobin,1,0,0
Taylor & Francis,HIV Res Clin Pract,2,0,0
Taylor & Francis,Hosp Pract (1995),4,0,0
Taylor & Francis,Immunol Invest,5,0,0
Taylor & Francis,Immunopharmacol Immunotoxicol,4,0,0
Taylor & Francis,Infect Ecol Epidemiol,1,0,0
Taylor & Francis,Int J Neurosci,3,0,0
Taylor & Francis,Int J Radiat Biol,1,0,0
Taylor & Francis,Int Rev Immunol,7,0,0
Taylor & Francis,J Am Coll Nutr,4,0,0
Taylor & Francis,J Asthma,5,0,0
Taylor & Francis,J Biomater Sci Polym Ed,1,0,0
Taylor & Francis,J Biomol Struct Dyn,288,0,0
Taylor & Francis,J Chemother,1,0,0
Taylor & Francis,J Community Hosp Intern Med Perspect,2,0,0
Taylor & Francis,J Drug Target,1,0,0
Taylor & Francis,J Environ Sci Health A Tox Hazard Subst Environ Eng,1,0,0
Taylor & Francis,J Matern Fetal Neonatal Med,4,0,0
Taylor & Francis,J Occup Environ Hyg,31,0,0
Taylor & Francis,J Oral Microbiol,2,0,0
Taylor & Francis,J Recept Signal Transduct Res,1,0,0
Taylor & Francis,J Toxicol Environ Health B Crit Rev,1,0,0
Taylor & Francis,Leuk Lymphoma,2,0,0
Taylor & Francis,MAbs,1,0,0
Taylor & Francis,Mod Rheumatol,1,0,0
Taylor & Francis,Mol Membr Biol,1,0,0
Taylor & Francis,N Z Vet J,1,0,0
Taylor & Francis,Nat Prod Res,2,0,0
Taylor & Francis,Neurodiagn J,1,0,0
Taylor & Francis,Nucleosides Nucleotides Nucleic Acids,1,0,0
Taylor & Francis,Ocul Immunol Inflamm,2,0,0
Taylor & Francis,Pathog Glob Health,10,0,0
Taylor & Francis,Platelets,7,0,0
Taylor & Francis,Postgrad Med,11,0,0
Taylor & Francis,Proc (Bayl Univ Med Cent),7,0,0
Taylor & Francis,RNA Biol,7,0,0
Taylor & Francis,SAR QSAR Environ Res,1,0,0
Taylor & Francis,Scand J Clin Lab Invest,5,0,0
Taylor & Francis,Scand J Gastroenterol,1,0,0
Taylor & Francis,Stat Biopharm Res,16,0,0
Taylor & Francis,Vet Q,3,0,0
Taylor & Francis,Women Health,1,0,0
Taylor & Francis,Xenobiotica,2,0,0
Thieme,AJP Rep,1,0,0
Thieme,Am J Perinatol,49,0,0
Thieme,Anasthesiol Intensivmed Notfallmed Schmerzther,4,0,0
Thieme,Aorta (Stamford),1,0,0
Thieme,Appl Clin Inform,2,0,0
Thieme,Drug Res (Stuttg),9,0,0
Thieme,Endosc Int Open,7,0,0
Thieme,Endoscopy,41,0,0
Thieme,Exp Clin Endocrinol Diabetes,1,0,0
Thieme,Hamostaseologie,1,0,0
Thieme,Horm Metab Res,2,0,0
Thieme,Indian J Cardiovasc Dis Women WINCARS,1,0,0
Thieme,Int Arch Otorhinolaryngol,2,0,0
Thieme,Int J Sports Med,1,0,0
Thieme,J Hand Microsurg,1,0,0
Thieme,J Lab Physicians,3,0,0
Thieme,J Pediatr Infect Dis,3,0,0
Thieme,J Pediatr Intensive Care,1,0,0
Thieme,Klin Monbl Augenheilkd,2,0,0
Thieme,Laryngorhinootologie,7,0,0
Thieme,Neuropediatrics,1,0,0
Thieme,Nuklearmedizin,1,0,0
Thieme,Planta Med,3,0,0
Thieme,Psychiatr Prax,3,0,0
Thieme,Semin Neurol,1,0,0
Thieme,Semin Respir Crit Care Med,24,0,0
Thieme,Semin Thromb Hemost,23,0,0
Thieme,Thromb Haemost,22,0,0
Thieme,Z Geburtshilfe Neonatol,3,0,0
Thieme,Z Orthop Unfall,6,0,0
Thieme,Zentralbl Chir,1,0,0
Wiley,ACR Open Rheumatol,10,0,0
Wiley,Acta Anaesthesiol Scand,21,0,0
Wiley,Acta Biochim Biophys Sin (Shanghai),7,0,0
Wiley,Acta Crystallogr A,2,0,0
Wiley,Acta Crystallogr D Biol Crystallogr,22,0,0
Wiley,Acta Crystallogr D Struct Biol,4,0,0
Wiley,Acta Crystallogr F Struct Biol Commun,10,0,0
Wiley,Acta Crystallogr Sect F Struct Biol Cryst Commun,17,0,0
Wiley,Acta Med Scand,1,0,0
Wiley,Acta Obstet Gynecol Scand,24,0,0
Wiley,Acta Ophthalmol,21,0,0
Wiley,Acta Ophthalmol Scand,1,0,0
Wiley,Acta Paediatr,154,0,0
Wiley,Acta Pathol Microbiol Scand,1,0,0
Wiley,Acta Pharmacol Sin,3,0,0
Wiley,Acta Physiol (Oxf),12,0,0
Wiley,Acta Psychiatr Scand,12,0,0
Wiley,Acute Med Surg,28,0,0
Wiley,Addiction,14,0,0
Wiley,Adv Biosyst,2,0,0
Wiley,Adv Cell Gene Ther,4,0,0
Wiley,Adv Eng Mater,1,0,0
Wiley,Adv Funct Mater,13,0,0
Wiley,Adv Genet (Hoboken),1,0,0
Wiley,Adv Healthc Mater,10,0,0
Wiley,Adv Intell Syst,4,0,0
Wiley,Adv Mater Interfaces,1,0,0
Wiley,Adv Mater Technol,3,0,0
Wiley,Adv Nanobiomed Res,5,0,0
Wiley,Adv Photonics Res,1,0,0
Wiley,Adv Sustain Syst,1,0,0
Wiley,Adv Synth Catal,1,0,0
Wiley,Adv Theory Simul,10,0,0
Wiley,Adv Ther (Weinh),14,0,0
Wiley,AEM Educ Train,15,0,0
Wiley,Afr J Ecol,3,0,0
Wiley,Aging Cell,2,0,0
Wiley,Aging Med (Milton),9,0,0
Wiley,Agribusiness (N Y N Y),6,0,0
Wiley,Agric Econ,11,0,0
Wiley,AIChE J,2,0,0
Wiley,Alcohol Clin Exp Res,6,0,0
Wiley,Aliment Pharmacol Ther,49,0,0
Wiley,Alzheimers Dement (N Y),9,0,0
Wiley,Am Anthropol,3,0,0
Wiley,Am Ethnol,1,0,0
Wiley,Am J Addict,6,0,0
Wiley,Am J Agric Econ,5,0,0
Wiley,Am J Community Psychol,2,0,0
Wiley,Am J Econ Sociol,2,0,0
Wiley,Am J Ind Med,10,0,0
Wiley,Am J Med Genet,1,0,0
Wiley,Am J Med Genet A,13,0,0
Wiley,Am J Med Genet B Neuropsychiatr Genet,1,0,0
Wiley,Am J Med Genet C Semin Med Genet,2,0,0
Wiley,Anaesth Rep,13,0,0
Wiley,Anaesthesia,100,0,0
Wiley,Anal Soc Issues Public Policy,2,0,0
Wiley,Anat Histol Embryol,2,0,0
Wiley,Anat Rec,1,0,0
Wiley,Anat Rec (Hoboken),2,0,0
Wiley,Anat Sci Educ,18,0,0
Wiley,Andrologia,17,0,0
Wiley,Andrology,24,0,0
Wiley,Anim Blood Groups Biochem Genet,1,0,0
